_id,Temp,Luminosity,Humidity
697bd878d594074e25f53dab,26.33,436.75,11.44
697bd87dd594074e25f53dac,26.34,458.75,11.44
697bd883d594074e25f53dad,26.34,439,11.43
697bd888d594074e25f53dae,26.35,484.5,11.44
697bd88dd594074e25f53daf,26.36,482.75,11.44
697bd892d594074e25f53db0,26.35,468.75,11.45
697bd898d594074e25f53db1,26.36,467.75,11.44
697bd89dd594074e25f53db2,26.37,451.25,11.45
697bd8a2d594074e25f53db3,26.37,450.75,11.48
697bd8a8d594074e25f53db4,26.36,450.75,11.48
697bd8add594074e25f53db5,26.37,458.25,11.49
697bd8b2d594074e25f53db6,26.38,468.5,11.49
697bd8b8d594074e25f53db7,26.39,453.25,11.49
697bd8bdd594074e25f53db8,26.38,425.5,11.51
697bd8c2d594074e25f53db9,26.37,430.5,11.52
697bd8c8d594074e25f53dba,26.37,426.25,11.52
697bd8cdd594074e25f53dbb,26.38,1,11.56
697bd8d2d594074e25f53dbc,27.11,0.5,13.74
697bd8d7d594074e25f53dbd,27.26,0.5,19.05
697bd8ddd594074e25f53dbe,27.2,488,24.98
697bd8e2d594074e25f53dbf,27.16,492,26.02
697bd8e7d594074e25f53dc0,27.15,483.75,24.8
697bd8edd594074e25f53dc1,27.15,472.75,23.16
697bd8f2d594074e25f53dc2,27.14,473.5,21.61
697bd8f7d594074e25f53dc3,27.12,2.25,20.23
697bd8fdd594074e25f53dc4,28.55,1,24.35
697bd902d594074e25f53dc5,28.31,513,29.43
697bd907d594074e25f53dc6,28.06,509.25,29.04
697bd90cd594074e25f53dc7,27.93,506.75,26.89
697bd912d594074e25f53dc8,27.8,466,24.72
697bd917d594074e25f53dc9,27.72,413.25,22.82
697bd91cd594074e25f53dca,27.67,436.75,21.19
697bd922d594074e25f53dcb,27.57,398,20.03
697bd927d594074e25f53dcc,27.52,424.5,18.99
697bd92cd594074e25f53dcd,27.47,403.25,18.03
